0,1,2,3,4,5
1502956800000,4370.0,4417.1,4492.3,4331.1,7755.324974260005
1502971200000,4418.3,4348.1,4470.0,4330.0,5460.101964189994
1502985600000,4341.3,4296.0,4348.9,4152.0,13052.849265000015
1503000000000,4296.0,4263.0,4363.9,4230.2,5191.05652995
1503014400000,4262.9,4257.4,4300.0,4172.8,5981.691545460003
1503028800000,4258.9,4282.8,4316.0,4215.4,2951.0228939800013
1503043200000,4282.7,4307.1,4360.0,4235.7,4212.696513189999
1503057600000,4307.1,4223.8,4337.1,4183.8,7381.256332430002
1503072000000,4223.9,4109.4,4270.0,4003.0,15632.531732900006
1503086400000,4113.4,4090.1,4137.9,3954.0,10647.371220399991
1503100800000,4090.1,4110.0,4187.0,4084.6,4195.16217772
1503115200000,4110.0,4037.4,4139.9,3907.0,8404.63622671
1503129600000,4037.5,3944.0,4073.9,3925.0,6341.644052969996
1503144000000,3943.5,4008.0,4155.2,3940.2,12297.731565700007
1503158400000,4008.0,4079.0,4106.6,3959.9,5663.236299960001
1503172800000,4078.9,4145.0,4184.1,4064.8,4862.864097
1503187200000,4145.1,4089.3,4148.3,4045.5,4213.734558579997
1503201600000,4090.5,4139.3,4168.3,4087.0,2439.6449731300004
1503216000000,4137.0,4105.0,4163.2,4060.6,2774.17847277
1503230400000,4106.0,4097.8,4127.1,4063.0,3522.99735947
1503244800000,4097.8,4143.6,4199.9,4077.1,5619.946589669997
1503259200000,4144.7,4063.1,4155.6,3975.1,6554.443677169998
1503273600000,4059.6,4059.2,4094.7,4030.6,2534.88780837
1503288000000,4059.1,4015.6,4078.0,3951.0,5270.23658234
1503302400000,4017.0,4047.4,4087.7,4015.4,4281.967479759998
1503316800000,4047.4,4001.1,4062.8,3977.5,6602.881211049998
1503331200000,4001.0,4009.9,4025.0,3964.0,4574.977302769998
1503345600000,4009.0,3998.2,4038.3,3975.0,3321.26866356
1503360000000,3997.6,3836.2,3999.9,3812.1,10468.067540299991
1503374400000,3836.2,3779.9,3839.8,3599.0,19159.20147420001
1503388800000,3780.0,3882.8,3916.3,3730.1,8028.4843348
1503403200000,3883.9,3892.5,3976.7,3855.0,7221.505602599999
1503417600000,3892.0,4098.0,4141.9,3891.3,11476.2680311
1503432000000,4098.0,4081.9,4110.0,4014.5,5374.267939959996
1503446400000,4083.9,4084.5,4145.2,4056.6,4192.020170509998
1503460800000,4088.6,4104.9,4115.0,4045.0,3223.82806294
1503475200000,4104.9,4216.5,4255.2,4099.7,6391.773421850003
1503489600000,4217.9,4204.9,4249.8,4162.0,3789.1521519100006
1503504000000,4204.9,4110.0,4238.0,4109.5,4755.043588100001
1503518400000,4110.4,4130.2,4155.5,4065.3,5132.560010999996
1503532800000,4130.8,4121.0,4218.5,4089.9,4864.408913619996
1503547200000,4121.4,4176.3,4181.0,4093.2,1556.5245914899997
1503561600000,4176.3,4182.7,4217.1,4154.1,2453.15969136
1503576000000,4182.7,4229.4,4249.9,4144.1,3683.39485059
1503590400000,4230.0,4230.0,4250.0,4183.1,2653.6680926
1503604800000,4230.0,4322.1,4381.0,4213.0,6829.962580040004
1503619200000,4322.1,4341.5,4390.0,4311.7,4018.704993589999
1503633600000,4341.5,4335.2,4358.8,4292.8,2990.2133619099995
1503648000000,4334.2,4338.9,4370.1,4300.0,2546.185861049999
1503662400000,4338.9,4424.0,4458.7,4325.1,5327.986877519998
1503676800000,4424.1,4320.1,4464.2,4250.0,8424.85879646
1503691200000,4321.0,4351.5,4372.0,4275.0,4449.038536249997
1503705600000,4351.4,4294.8,4364.0,4240.7,3258.7540933399982
1503720000000,4292.8,4329.8,4345.9,4261.0,1598.6403900600014
